gene_id,gene_name
Zm00001eb000010,Zm00001eb000010
Zm00001eb000020,pco082477
Zm00001eb000050,Zm00001eb000050
Zm00001eb000060,bnlg149
Zm00001eb000070,Zm00001eb000070
Zm00001eb000080,Zm00001eb000080
Zm00001eb000100,Zm00001eb000100
Zm00001eb000110,Zm00001eb000110
Zm00001eb000120,Zm00001eb000120
Zm00001eb000140,Zm00001eb000140
Zm00001eb000150,Zm00001eb000150
Zm00001eb000170,Zm00001eb000170
Zm00001eb000180,Zm00001eb000180
Zm00001eb000190,Zm00001eb000190
Zm00001eb000200,Zm00001d027258
Zm00001eb000210,mha11
Zm00001eb000220,Zm00001eb000220
Zm00001eb000230,Zm00001eb000230
Zm00001eb000240,Zm00001d027268
Zm00001eb000250,Zm00001eb000250
Zm00001eb000270,Zm00001eb000270
Zm00001eb000290,Zm00001eb000290
Zm00001eb000300,Zm00001eb000300
Zm00001eb000310,Zm00001eb000310
Zm00001eb000320,Zm00001eb000320
Zm00001eb000330,gpm923
Zm00001eb000340,Zm00001eb000340
Zm00001eb000360,Zm00001eb000360
Zm00001eb000370,Zm00001eb000370
Zm00001eb000380,expb3
Zm00001eb000390,npf4
Zm00001eb000400,Zm00001eb000400
Zm00001eb000410,Zm00001eb000410
Zm00001eb000420,umc1613
Zm00001eb000430,umc1353a
Zm00001eb000440,Zm00001eb000440
Zm00001eb000450,Zm00001eb000450
Zm00001eb000460,Zm00001eb000460
Zm00001eb000470,gras53
Zm00001eb000480,spr1
Zm00001eb000490,tub1
Zm00001eb000500,Zm00001eb000500
Zm00001eb000510,Zm00001eb000510
Zm00001eb000520,polm1
Zm00001eb000530,Zm00001eb000530
Zm00001eb000540,Zm00001eb000540
Zm00001eb000550,csu738
Zm00001eb000560,Zm00001eb000560
Zm00001eb000570,Zm00001eb000570
Zm00001eb000580,lsi2
Zm00001eb000590,Zm00001eb000590
Zm00001eb000600,Zm00001eb000600
Zm00001eb000620,ptp1
Zm00001eb000630,Zm00001eb000630
Zm00001eb000640,Zm00001eb000640
Zm00001eb000650,rfwd3
Zm00001eb000660,Zm00001eb000660
Zm00001eb000670,umc2748
Zm00001eb000680,Zm00001eb000680
Zm00001eb000690,rld2
Zm00001eb000700,btf3
Zm00001eb000710,Zm00001eb000710
Zm00001eb000720,Zm00001eb000720
Zm00001eb000740,Zm00001eb000740
Zm00001eb000750,Zm00001eb000750
Zm00001eb000760,Zm00001eb000760
Zm00001eb000770,pco121752
Zm00001eb000780,Zm00001eb000780
Zm00001eb000790,Zm00001eb000790
Zm00001eb000800,arp4
Zm00001eb000810,Zm00001eb000810
Zm00001eb000820,met7
Zm00001eb000830,Zm00001eb000830
Zm00001eb000840,remo2
Zm00001eb000850,umc1177
Zm00001eb000860,cl584_1(3)
Zm00001eb000870,Zm00001eb000870
Zm00001eb000880,thx18
Zm00001eb000890,krp17
Zm00001eb000900,Zm00001eb000900
Zm00001eb000910,Zm00001eb000910
Zm00001eb000920,umc2183
Zm00001eb000930,Zm00001eb000930
Zm00001eb000940,Zm00001eb000940
Zm00001eb000960,Zm00001eb000960
Zm00001eb000970,Zm00001eb000970
Zm00001eb000980,Zm00001eb000980
Zm00001eb000990,Zm00001eb000990
Zm00001eb001000,Zm00001eb001000
Zm00001eb001010,Zm00001eb001010
Zm00001eb001020,Zm00001eb001020
Zm00001eb001030,Zm00001eb001030
Zm00001eb001040,GRMZM2G426802
Zm00001eb001050,Zm00001eb001050
Zm00001eb001060,Zm00001eb001060
Zm00001eb001070,Zm00001eb001070
Zm00001eb001090,Zm00001eb001090
Zm00001eb001100,Zm00001eb001100
Zm00001eb001110,fus6
Zm00001eb001120,Zm00001eb001120
Zm00001eb001130,Zm00001eb001130
Zm00001eb001140,dpr1
Zm00001eb001150,Zm00001eb001150
Zm00001eb001160,Zm00001eb001160
Zm00001eb001170,pmp1
Zm00001eb001180,pyrd1
Zm00001eb001190,Zm00001eb001190
Zm00001eb001200,Zm00001eb001200
Zm00001eb001210,Zm00001eb001210
Zm00001eb001220,Zm00001eb001220
Zm00001eb001230,Zm00001eb001230
Zm00001eb001240,Zm00001eb001240
Zm00001eb001250,Zm00001eb001250
Zm00001eb001260,cdc2
Zm00001eb001270,Zm00001eb001270
Zm00001eb001280,Zm00001eb001280
Zm00001eb001290,Zm00001eb001290
Zm00001eb001300,Zm00001eb001300
Zm00001eb001310,Zm00001eb001310
Zm00001eb001320,Zm00001eb001320
Zm00001eb001330,Zm00001eb001330
Zm00001eb001340,Zm00001eb001340
Zm00001eb001350,si618024d08
Zm00001eb001360,IDP1464
Zm00001eb001370,pld15
Zm00001eb001400,nad5 (homolog)
Zm00001eb001410,Zm00001eb001410
Zm00001eb001420,Zm00001eb001420
Zm00001eb001430,cals9
Zm00001eb001440,Zm00001eb001440
Zm00001eb001460,nactf78
Zm00001eb001470,Zm00001eb001470
Zm00001eb001480,tho1
Zm00001eb001490,Zm00001eb001490
Zm00001eb001500,Zm00001eb001500
Zm00001eb001510,Zm00001eb001510
Zm00001eb001520,Zm00001eb001520
Zm00001eb001530,mib1
Zm00001eb001550,abi8
Zm00001eb001560,Zm00001eb001560
Zm00001eb001570,dcl101
Zm00001eb001580,Zm00001eb001580
Zm00001eb001590,atg1a
Zm00001eb001600,Zm00001eb001600
Zm00001eb001610,Zm00001eb001610
Zm00001eb001620,Zm00001eb001620
Zm00001eb001630,bhlh140
Zm00001eb001640,IDP2420
Zm00001eb001650,Zm00001eb001650
Zm00001eb001660,Zm00001eb001660
Zm00001eb001670,zag6
Zm00001eb001680,uce3
Zm00001eb001690,Zm00001eb001690
Zm00001eb001700,IDP658
Zm00001eb001710,Zm00001eb001710
Zm00001eb001720,knox1
Zm00001eb001740,Zm00001eb001740
Zm00001eb001760,Zm00001eb001760
Zm00001eb001770,hb30
Zm00001eb001780,Zm00001eb001780
Zm00001eb001790,Zm00001eb001790
Zm00001eb001800,Zm00001eb001800
Zm00001eb001810,AY107629
Zm00001eb001820,Zm00001eb001820
Zm00001eb001830,cdo1081a
Zm00001eb001840,IDP3811
Zm00001eb001860,IDP755
Zm00001eb001870,Zm00001eb001870
Zm00001eb001880,umc1292
Zm00001eb001890,Zm00001eb001890
Zm00001eb001900,Zm00001eb001900
Zm00001eb001910,Zm00001eb001910
Zm00001eb001920,ofp1
Zm00001eb001940,Zm00001eb001940
Zm00001eb001950,pba1
Zm00001eb001960,Zm00001eb001960
Zm00001eb001970,Zm00001eb001970
Zm00001eb001980,Zm00001eb001980
Zm00001eb001990,nactf33
Zm00001eb002000,gpm330
Zm00001eb002010,bzip114
Zm00001eb002020,fha1
Zm00001eb002030,Zm00001eb002030
Zm00001eb002040,kea5
Zm00001eb002050,Zm00001eb002050
Zm00001eb002060,gpm280a
Zm00001eb002070,Zm00001eb002070
Zm00001eb002080,Zm00001eb002080
Zm00001eb002090,pco137023
Zm00001eb002100,cals1
Zm00001eb002140,Zm00001eb002140
Zm00001eb002150,Zm00001eb002150
Zm00001eb002170,Zm00001eb002170
Zm00001eb002180,cdpk36
Zm00001eb002190,Zm00001eb002190
Zm00001eb002200,GRMZM2G321041
Zm00001eb002210,Zm00001eb002210
Zm00001eb002220,Zm00001eb002220
Zm00001eb002240,Zm00001eb002240
Zm00001eb002250,mlo1
Zm00001eb002260,Zm00001eb002260
Zm00001eb002270,gpb1
Zm00001eb002280,Zm00001eb002280
Zm00001eb002290,Zm00001eb002290
Zm00001eb002300,mha6
Zm00001eb002310,glk48
Zm00001eb002320,nad4
Zm00001eb002330,iaa1
Zm00001eb002340,iaa1
Zm00001eb002350,bhlh49
Zm00001eb002360,bhlh50
Zm00001eb002370,bhlh50
Zm00001eb002380,Zm00001eb002380
Zm00001eb002390,fsgt1
Zm00001eb002410,Zm00001eb002410
Zm00001eb002420,Zm00001eb002420
Zm00001eb002430,Zm00001eb002430
Zm00001eb002440,php20537b
Zm00001eb002450,Zm00001eb002450
Zm00001eb002460,bnlg1014
Zm00001eb002470,Zm00001eb002470
Zm00001eb002480,Zm00001eb002480
Zm00001eb002490,nlp7
Zm00001eb002510,cat2
Zm00001eb002520,GRMZM2G090738
Zm00001eb002530,Zm00001eb002530
Zm00001eb002540,IDP8147
Zm00001eb002550,Zm00001eb002550
Zm00001eb002560,Zm00001eb002560
Zm00001eb002570,Zm00001eb002570
Zm00001eb002590,Zm00001eb002590
Zm00001eb002600,Zm00001eb002600
Zm00001eb002610,Zm00001eb002610
Zm00001eb002620,chn22
Zm00001eb002640,IDP4043
Zm00001eb002650,Zm00001eb002650
Zm00001eb002660,nactf53
Zm00001eb002680,Zm00001eb002680
Zm00001eb002690,Zm00001eb002690
Zm00001eb002700,Zm00001eb002700
Zm00001eb002710,Zm00001eb002710
Zm00001eb002720,Zm00001eb002720
Zm00001eb002730,Zm00001eb002730
Zm00001eb002740,sat4
Zm00001eb002750,Zm00001eb002750
Zm00001eb002760,Zm00001eb002760
Zm00001eb002770,Zm00001eb002770
Zm00001eb002780,gst11
Zm00001eb002790,gst12
Zm00001eb002800,csu454(gst)
Zm00001eb002810,gst10
Zm00001eb002820,Zm00001eb002820
Zm00001eb002830,bhlh35
Zm00001eb002840,Zm00001eb002840
Zm00001eb002850,smt2
Zm00001eb002860,pht10
Zm00001eb002870,Zm00001eb002870
Zm00001eb002880,Zm00001eb002880
Zm00001eb002890,Zm00001eb002890
Zm00001eb002900,Zm00001eb002900
Zm00001eb002910,Zm00001eb002910
Zm00001eb002920,Zm00001eb002920
Zm00001eb002930,Zm00001eb002930
Zm00001eb002940,Zm00001eb002940
Zm00001eb002950,gst31
Zm00001eb002960,aco12
Zm00001eb002970,Zm00001eb002970
Zm00001eb002980,Zm00001eb002980
Zm00001eb002990,Zm00001eb002990
Zm00001eb003000,Zm00001eb003000
Zm00001eb003010,Zm00001eb003010
Zm00001eb003020,Zm00001eb003020
Zm00001eb003030,Zm00001eb003030
Zm00001eb003040,ommp1
Zm00001eb003050,Zm00001eb003050
Zm00001eb003060,Zm00001eb003060
Zm00001eb003070,ommp1
Zm00001eb003080,cl3927_1a
Zm00001eb003090,mgt10
Zm00001eb003100,Zm00001eb003100
Zm00001eb003110,cki3
Zm00001eb003120,bzr9
Zm00001eb003130,TIDP3353
Zm00001eb003140,umc1948
Zm00001eb003150,php20603
Zm00001eb003160,Zm00001eb003160
Zm00001eb003170,prc3
Zm00001eb003180,IDP65a
Zm00001eb003190,Zm00001eb003190
Zm00001eb003200,Zm00001eb003200
Zm00001eb003210,Zm00001eb003210
Zm00001eb003220,Zm00001eb003220
Zm00001eb003230,Zm00001eb003230
Zm00001eb003240,TIDP3460
Zm00001eb003270,Zm00001eb003270
Zm00001eb003280,Zm00001eb003280
Zm00001eb003290,Zm00001eb003290
Zm00001eb003300,IDP7821
Zm00001eb003310,Zm00001eb003310
Zm00001eb003330,Zm00001eb003330
Zm00001eb003340,Zm00001eb003340
Zm00001eb003350,Zm00001eb003350
Zm00001eb003360,pco082302
Zm00001eb003370,Zm00001eb003370
Zm00001eb003380,Zm00001eb003380
Zm00001eb003390,Zm00001eb003390
Zm00001eb003400,Zm00001eb003400
Zm00001eb003420,Zm00001eb003420
Zm00001eb003440,amyb2
Zm00001eb003450,Zm00001eb003450
Zm00001eb003460,Zm00001eb003460
Zm00001eb003470,myb120
Zm00001eb003480,Zm00001eb003480
Zm00001eb003490,mrpa4
Zm00001eb003510,Zm00001eb003510
Zm00001eb003520,Zm00001eb003520
Zm00001eb003530,IDP8218
Zm00001eb003540,umc1484
Zm00001eb003550,IDP1437a
Zm00001eb003560,Zm00001eb003560
Zm00001eb003570,Zm00001eb003570
Zm00001eb003580,Zm00001eb003580
Zm00001eb003590,Zm00001eb003590
Zm00001eb003600,Zm00001eb003600
Zm00001eb003610,Zm00001eb003610
Zm00001eb003620,Zm00001eb003620
Zm00001eb003630,Zm00001eb003630
Zm00001eb003650,Zm00001eb003650
Zm00001eb003660,Zm00001eb003660
Zm00001eb003670,Zm00001eb003670
Zm00001eb003680,Zm00001eb003680
Zm00001eb003690,cl14031_1
Zm00001eb003700,Zm00001d027649
Zm00001eb003710,Zm00001eb003710
Zm00001eb003720,Zm00001eb003720
Zm00001eb003730,Zm00001eb003730
Zm00001eb003740,Zm00001eb003740
Zm00001eb003750,IDP847
Zm00001eb003760,lls1
Zm00001eb003770,Zm00001eb003770
Zm00001eb003780,mmp93
Zm00001eb003790,Zm00001eb003790
Zm00001eb003800,Zm00001eb003800
Zm00001eb003810,Zm00001eb003810
Zm00001eb003820,pilncr1
Zm00001eb003830,citt1
Zm00001eb003840,Zm00001eb003840
Zm00001eb003850,Zm00001eb003850
Zm00001eb003860,Zm00001eb003860
Zm00001eb003870,Zm00001eb003870
Zm00001eb003880,Zm00001eb003880
Zm00001eb003890,Zm00001eb003890
Zm00001eb003900,Zm00001eb003900
Zm00001eb003910,lbd1
Zm00001eb003920,rtcs1
Zm00001eb003930,Zm00001eb003930
Zm00001eb003940,Zm00001eb003940
Zm00001eb003950,Zm00001eb003950
Zm00001eb003960,Zm00001eb003960
Zm00001eb003970,cl15737_2
Zm00001eb004000,Zm00001eb004000
Zm00001eb004020,Zm00001eb004020
Zm00001eb004030,umc1222
Zm00001eb004040,Zm00001eb004040
Zm00001eb004050,GRMZM2G112728
Zm00001eb004060,Zm00001eb004060
Zm00001eb004070,Zm00001eb004070
Zm00001eb004080,Zm00001eb004080
Zm00001eb004090,Zm00001eb004090
Zm00001eb004100,pht9
Zm00001eb004110,Zm00001eb004110
Zm00001eb004120,Zm00001eb004120
Zm00001eb004130,Zm00001eb004130
Zm00001eb004140,Zm00001eb004140
Zm00001eb004150,Zm00001eb004150
Zm00001eb004160,Zm00001eb004160
Zm00001eb004170,Zm00001eb004170
Zm00001eb004180,Zm00001eb004180
Zm00001eb004190,e2f19
Zm00001eb004200,Zm00001eb004200
Zm00001eb004210,Zm00001eb004210
Zm00001eb004220,Zm00001eb004220
Zm00001eb004230,Zm00001eb004230
Zm00001eb004240,rplp1
Zm00001eb004250,Zm00001eb004250
Zm00001eb004260,Zm00001eb004260
Zm00001eb004280,Zm00001eb004280
Zm00001eb004290,Zm00001eb004290
Zm00001eb004300,Zm00001eb004300
Zm00001eb004310,Zm00001eb004310
Zm00001eb004320,nod1
Zm00001eb004330,Zm00001eb004330
Zm00001eb004340,Zm00001eb004340
Zm00001eb004350,Zm00001eb004350
Zm00001eb004360,Zm00001eb004360
Zm00001eb004370,Zm00001eb004370
Zm00001eb004380,Zm00001eb004380
Zm00001eb004390,Zm00001eb004390
Zm00001eb004400,Zm00001eb004400
Zm00001eb004410,Zm00001eb004410
Zm00001eb004420,umc2224
Zm00001eb004430,Zm00001eb004430
Zm00001eb004440,IDP8388
Zm00001eb004450,Zm00001eb004450
Zm00001eb004460,ofp2
Zm00001eb004470,rab30
Zm00001eb004480,Zm00001eb004480
Zm00001eb004490,umc1723a
Zm00001eb004500,Zm00001eb004500
Zm00001eb004510,Zm00001eb004510
Zm00001eb004530,Zm00001eb004530
Zm00001eb004540,Zm00001eb004540
Zm00001eb004550,sfp4
Zm00001eb004560,GRMZM2G154119
Zm00001eb004570,Zm00001eb004570
Zm00001eb004590,Zm00001eb004590
Zm00001eb004600,bhlh110
Zm00001eb004610,Zm00001eb004610
Zm00001eb004630,IDP3918b
Zm00001eb004640,Zm00001eb004640
Zm00001eb004650,Zm00001eb004650
