Gene ID	SAM	P1_P2	P3	P4	P5
Zm00001eb222520	0.010830425	0	0	0	0
Zm00001eb015020	0.060487516	0.008380018	0.004485749	0.000788115	0.001108326
Zm00001eb035180	0.240109703	0.04759238	0.010911215	0.004171084	0.004249306
Zm00001eb040220	0.021660849	0.002394291	0	0.00315246	0.001773322
Zm00001eb041860	0.010830425	0	0.000803183	0.000394058	0.000221665
Zm00001eb051340	0.043321699	0.005985727	0.006092115	0.007717602	0.011304927
Zm00001eb055700	0.142635881	0.061461265	0.063118129	0.076284252	0.083459488
Zm00001eb055920	0.638239015	0.091055503	0.014730261	0.007487093	0.005579297
Zm00001eb075640	0.144282139	0.017460321	0.000803183	0.00157623	0.001108326
Zm00001eb079950	0.064982548	0.016760035	0.024701812	0.017636	0.017954884
Zm00001eb082590	0.287749966	0.075240139	0.04364486	0.037926752	0.037741756
Zm00001eb103060	0.114639639	0.048586101	0.039962294	0.029524686	0.02774582
Zm00001eb117820	0.152457891	0.026540624	0.0048191	0.00157623	0.001329991
Zm00001eb130180	0.439129843	0.116645316	0.023762148	0.007093035	0.006244293
Zm00001eb144270	0.010830425	0	0.000803183	0.000788115	0
Zm00001eb150830	0.010830425	0.001197145	0.000803183	0.002364345	0.003324978
Zm00001eb154380	0.175127155	0.022745762	0.004015916	0	0.000886661
Zm00001eb167310	0.148971273	0.060467544	0.061921205	0.041807429	0.042434392
Zm00001eb169410	0.120975032	0.071738713	0.066270473	0.047324235	0.054295649
Zm00001eb197040	0.010830425	0.002394291	0	0.000394058	0
Zm00001eb202570	0.032491274	0.003591436	0.004015916	0.010542965	0.008552945
Zm00001eb202660	0.097473822	0.029635199	0.009638199	0.005122748	0.005708963
Zm00001eb216500	0.172278381	0.093490755	0.088229383	0.091823748	0.080707505
Zm00001eb220660	0.09297879	0.03252635	0.012850933	0.005583766	0.002881648
Zm00001eb239380	0.09297879	0.044497804	0.043311508	0.028342513	0.022463521
Zm00001eb244670	0.021660849	0.002394291	0.0048191	0.003940575	0.002438318
Zm00001eb251820	0.422598298	0.243251241	0.175793372	0.170293934	0.16486635
Zm00001eb264150	0.263610913	0.057169543	0.05582909	0.047785252	0.03814742
Zm00001eb264380	0.484555603	0.09195152	0.017806513	0.009457381	0.005579297
Zm00001eb279010	0.339423885	0.198954913	0.177855176	0.166643124	0.14382807
Zm00001eb291720	0.114639639	0.03252635	0.014457299	0.007093035	0.006871622
Zm00001eb295700	0.181462547	0.120731664	0.125858219	0.125199483	0.119156257
Zm00001eb299420	0.26893789	0.05044257	0.007957049	0.003777027	0.003989974
Zm00001eb314810	0.017165817	0	0	0.001970288	0.003103313
Zm00001eb331080	0.021660849	0.002394291	0.005622283	0.005516805	0.004433305
Zm00001eb334160	0.010830425	0	0	0.000394058	0
Zm00001eb344540	0.148971273	0.037518357	0.019079529	0.012446292	0.006206626
Zm00001eb358680	0.010830425	0.002394291	0.00240955	0.002364345	0.001773322
Zm00001eb386370	0.060487516	0.029928635	0.031460629	0.034416925	0.033325118
Zm00001eb388280	0.010830425	0.002394291	0.00240955	0.003940575	0.002789649
Zm00001eb400120	0.010830425	0.002394291	0	0	0.000221665
Zm00001eb402580	0.010830425	0.003591436	0.000803183	0.000788115	0.000886661
Zm00001eb421120	0.086643398	0.054074967	0.049600494	0.04653612	0.043726717
Zm00001eb004190	0.213953821	0.171328609	0.162607781	0.154762142	0.144618759
Zm00001eb006890	0.110144607	0.072935858	0.069953038	0.049986049	0.052259023
Zm00001eb019780	0.09297879	0.045491525	0.057298976	0.053138509	0.051058336
Zm00001eb023870	0.274441337	0.208643541	0.188915959	0.177431364	0.196814728
Zm00001eb029300	0.457373674	0.368030738	0.35283104	0.334368524	0.322729551
Zm00001eb030510	0.241950063	0.174716621	0.153575894	0.140270257	0.098210698
Zm00001eb031670	0.463639467	0.326487952	0.328602914	0.271939526	0.219079028
Zm00001eb041290	0.178613773	0.111447936	0.06560377	0.060291442	0.063768948
Zm00001eb050860	0.032491274	0.009577163	0.014123948	0.01448354	0.013245581
Zm00001eb051330	0.060487516	0.041606653	0.029520912	0.019606288	0.015959897
Zm00001eb051910	0.2924391	0.190279511	0.130874189	0.108351598	0.091150744
Zm00001eb057820	0.032491274	0.01506603	0.010441383	0.00788115	0.012835944
Zm00001eb058850	0.696474963	0.475771582	0.421849379	0.303816227	0.162272618
Zm00001eb060670	0.289766794	0.222897821	0.204587192	0.183388	0.188292226
Zm00001eb067270	0.614326598	0.341482027	0.222727056	0.193668296	0.129303219
Zm00001eb071920	0.021660849	0.007182872	0.004485749	0.003546518	0.003454644
Zm00001eb073790	0.159801698	0.083802126	0.076970423	0.06903473	0.044701405
Zm00001eb073910	0.181462547	0.095885046	0.095321552	0.103385337	0.092832066
Zm00001eb075520	0.437553184	0.25359005	0.154792639	0.16899527	0.179443005
Zm00001eb093650	0.010830425	0.003591436	0.001606367	0.00157623	0.002881648
Zm00001eb094740	0.064982548	0.035417501	0.039159111	0.044031433	0.033454784
Zm00001eb097990	0.297942547	0.234010424	0.226926756	0.208288288	0.178412541
Zm00001eb106620	0.066822908	0.036117787	0.037416264	0.044395221	0.02774582
Zm00001eb106790	0.017165817	0.008380018	0.00240955	0.002758403	0.001773322
Zm00001eb126430	0.114639639	0.044294379	0.058571991	0.069198279	0.095065746
Zm00001eb139160	0.190452612	0.105258784	0.126586619	0.12338504	0.135785122
Zm00001eb145420	0.244604736	0.175213481	0.169291814	0.131304164	0.106630005
Zm00001eb152940	0.327779148	0.228290933	0.143921992	0.134991665	0.129352155
Zm00001eb157860	0.038826666	0.027037484	0.015260483	0.019041619	0.018916878
Zm00001eb158680	0.316948724	0.182216333	0.084349948	0.029294177	0.017900551
Zm00001eb160080	0.032491274	0.019154326	0.017336681	0.019375779	0.016884224
Zm00001eb172450	0.196788004	0.127914536	0.118416997	0.112061664	0.116074305
Zm00001eb176440	0.347599638	0.201642639	0.213755559	0.178205355	0.167651665
Zm00001eb199530	0.038826666	0.011971454	0.005622283	0.016780925	0.013023916
Zm00001eb199880	0.218448854	0.185197494	0.145134618	0.111199527	0.091000078
Zm00001eb203350	0.332274181	0.255965891	0.236852312	0.261546497	0.244469809
Zm00001eb204190	0.319603396	0.218627554	0.220692999	0.191120368	0.185468162
Zm00001eb220000	0.271592563	0.227210997	0.228151162	0.210823886	0.192093868
Zm00001eb227100	0.450400438	0.296041002	0.18750777	0.119192032	0.087938765
Zm00001eb227240	0.268105945	0.192879176	0.185915798	0.211731797	0.197852416
Zm00001eb227390	0.138140849	0.090306169	0.087486589	0.083511208	0.069812215
Zm00001eb246280	0.138140849	0.106162494	0.073635603	0.073369363	0.052630993
Zm00001eb264780	0.049657091	0.01506603	0.015063612	0.017963097	0.018214215
Zm00001eb271970	0.640038738	0.504233041	0.471564299	0.440231615	0.406874169
Zm00001eb274800	0.110144607	0.058570114	0.008031833	0.013003898	0.021279862
Zm00001eb280500	0.467760357	0.276387867	0.237956204	0.173350448	0.089394449
Zm00001eb284130	0.010830425	0	0.000803183	0.000394058	0.000221665
Zm00001eb284410	0.038826666	0.034220356	0.030657446	0.024171429	0.025215504
Zm00001eb292830	0.254620848	0.160736271	0.159668009	0.183841218	0.225450097
Zm00001eb296770	0.032491274	0.016760035	0.015260483	0.021576575	0.014575572
Zm00001eb303220	0.312065487	0.226800352	0.205980986	0.195447939	0.181130829
Zm00001eb313820	0.313268004	0.244336921	0.257204856	0.249686928	0.211160636
Zm00001eb316740	0.224784246	0.158250021	0.128055197	0.072968243	0.101443678
Zm00001eb317100	0.431588363	0.306652847	0.323229918	0.29758533	0.268991678
Zm00001eb320340	0.120975032	0.072732433	0.068543542	0.091042695	0.094438056
Zm00001eb324300	0.439375911	0.356258021	0.33617519	0.31176498	0.29038492
Zm00001eb331880	0.621032561	0.464421892	0.318569666	0.138584597	0.068038893
Zm00001eb337450	0.285271762	0.14219027	0.166079081	0.128582452	0.073082861
Zm00001eb349730	0.268105945	0.222604385	0.202436209	0.171928172	0.166600923
Zm00001eb352570	0.060487516	0.051680677	0.031930461	0.027487438	0.021798526
Zm00001eb353320	0.203123397	0.14178342	0.145863018	0.150486766	0.142640078
Zm00001eb354880	0.131805456	0.022949187	0.008031833	0.003546518	0.004433305
Zm00001eb360510	0.010830425	0	0	0	0.000221665
Zm00001eb361390	0.054152123	0.026540624	0.017806513	0.008505717	0.012764584
Zm00001eb361590	0.125470064	0.083620157	0.086016704	0.09129577	0.091297076
Zm00001eb361790	0.366411713	0.236790109	0.153439413	0.09444823	0.108114635
Zm00001eb362740	0.459019932	0.223965944	0.055495739	0.023546863	0.01808455
Zm00001eb373300	0.345759278	0.252374455	0.237062269	0.245734737	0.259556821
Zm00001eb375660	0.241950063	0.144787986	0.127252013	0.124173155	0.100331018
Zm00001eb379550	0.209458789	0.129111681	0.152363268	0.139408761	0.120544554
Zm00001eb380990	0.086643398	0.038015217	0.043978211	0.047718292	0.048879711
Zm00001eb388060	0.276919541	0.20435182	0.212666327	0.199261656	0.181214523
Zm00001eb388300	0.228270864	0.083976403	0.098004064	0.108351598	0.138060802
Zm00001eb389900	0.231119638	0.190574895	0.189931715	0.166176328	0.143547739
Zm00001eb399030	0.203123397	0.148469433	0.134359884	0.137348306	0.13663845
Zm00001eb403140	0.181462547	0.12662738	0.133813961	0.127563828	0.112781937
Zm00001eb406000	0.010830425	0	0.004015916	0.003940575	0.001773322
Zm00001eb425230	0.142635881	0.109116456	0.100216743	0.080164929	0.079419153
Zm00001eb425660	0.114639639	0.084003602	0.078788054	0.059837487	0.06386492
Zm00001eb427580	0.529304438	0.376095471	0.404960359	0.393369747	0.338559728
Zm00001eb428800	0.021660849	0.011971454	0.00722865	0.008669265	0.007093287
Zm00001eb428890	0.161642058	0.054978678	0.096458087	0.085228421	0.116421302
Zm00001eb430300	0.699371888	0.405845114	0.35134911	0.353050886	0.416499993
Zm00001eb001460	2.228544215	2.268250257	2.210884063	2.109812948	1.979022142
Zm00001eb005740	0.696886171	0.556292581	0.393346521	0.176718043	0.044170048
Zm00001eb006360	0.899330843	0.880998395	0.826296861	0.758466482	0.658518321
Zm00001eb008010	0.374587465	0.422742785	0.280967004	0.211588793	0.147914378
Zm00001eb008680	0.457784882	0.39593248	0.266408436	0.157813198	0.085307605
Zm00001eb024680	0.527859669	0.526065624	0.488982451	0.411515589	0.331160165
Zm00001eb031310	0.4683982	0.456955448	0.421003012	0.387007598	0.377026736
Zm00001eb031560	0.021660849	0.007883157	0.0048191	0.00472869	0.01084493
Zm00001eb032000	0.235614671	0.191883506	0.171110753	0.165617438	0.118323929
Zm00001eb032060	0.952426401	0.924190199	0.875800648	0.87399497	0.757461331
Zm00001eb033590	0.147130913	0.14038285	0.133147258	0.134233178	0.106630005
Zm00001eb035370	0.592027904	0.518152793	0.555036878	0.511658431	0.424010465
Zm00001eb036170	0.27893637	0.217543824	0.268252552	0.230473926	0.2252726
Zm00001eb036990	0.774766139	0.994842304	0.682747061	0.393642278	0.212909004
Zm00001eb037670	0.16429673	0.104357023	0.129389909	0.132084575	0.102933056
Zm00001eb041450	0.553024769	0.612055216	0.417777192	0.214058072	0.114953285
Zm00001eb041850	1.840489012	1.943658427	1.832944955	1.71296448	1.502875598
Zm00001eb042980	0.333088493	0.324997372	0.277573103	0.221419686	0.200144401
Zm00001eb043940	0.451038282	0.453773205	0.264071366	0.181528426	0.123489202
Zm00001eb045630	0.383771632	0.334430126	0.310625704	0.253234794	0.181102606
Zm00001eb047760	0.215794181	0.190664906	0.191871432	0.178488699	0.156869014
Zm00001eb049650	0.064982548	0.042103514	0.045584577	0.054186761	0.035265772
Zm00001eb051370	0.119134672	0.103271343	0.119929024	0.096224699	0.09118841
Zm00001eb053460	0.45059454	0.365248314	0.316325386	0.254319541	0.19208912
Zm00001eb057410	0.302437579	0.253233305	0.286271638	0.272386931	0.260956333
Zm00001eb058480	0.176967515	0.23828069	0.168231371	0.107496523	0.042656057
Zm00001eb059460	0.131805456	0.133493413	0.1259947	0.124210487	0.088620427
Zm00001eb062760	0.077653333	0.049286386	0.051268557	0.047420823	0.044575712
Zm00001eb067160	0.409927513	0.359810445	0.386976531	0.385568299	0.391081732
Zm00001eb067340	0.125470064	0.095388186	0.098867636	0.108083757	0.110732617
Zm00001eb073900	1.207072026	1.138119044	1.066044912	1.035644677	0.915943248
Zm00001eb074570	0.010830425	0.002394291	0.003212733	0.004855548	0.004876635
Zm00001eb074730	0.038826666	0.019154326	0.020079582	0.01297427	0.011748257
Zm00001eb075080	0.103809215	0.069841282	0.091972338	0.078849478	0.067114566
Zm00001eb076420	0.043321699	0.033520071	0.012047749	0.010245496	0.010012602
Zm00001eb076640	0.45059454	0.332651854	0.337193757	0.30506536	0.308275338
Zm00001eb079510	0.206610015	0.156253871	0.165046384	0.173244265	0.195485458
Zm00001eb082150	0.97168134	0.961570546	0.909632268	0.775055879	0.560134419
Zm00001eb089380	0.125470064	0.088091899	0.109991424	0.102329381	0.099963381
Zm00001eb091300	0.125470064	0.097782476	0.085743742	0.062759438	0.039343773
Zm00001eb092480	0.054152123	0.063268685	0.022625613	0.018357155	0.014776599
Zm00001eb092810	0.239101289	0.216792935	0.204525495	0.174384575	0.164313632
Zm00001eb100610	0.054152123	0.044994665	0.04143218	0.038588009	0.03859075
Zm00001eb100750	0.153466306	0.121928809	0.125585258	0.120069673	0.103676996
Zm00001eb101920	0.231119638	0.216296075	0.184947345	0.106054213	0.068720555
Zm00001eb102090	0.354572874	0.359213933	0.341571814	0.340386407	0.313577862
Zm00001eb102260	0.103809215	0.075596385	0.073499122	0.071265155	0.073526191
Zm00001eb104350	0.45489547	0.393107585	0.338800124	0.292248218	0.23551958
Zm00001eb104790	0.293447514	0.229493822	0.225196996	0.223523894	0.224971629
Zm00001eb107920	0.299588805	0.254138964	0.244912934	0.258764375	0.310055542
Zm00001eb108930	0.198434263	0.181199208	0.159652307	0.147683969	0.107980635
Zm00001eb112080	0.066822908	0.053578107	0.054556074	0.052052925	0.047106389
Zm00001eb116410	0.265451273	0.225196357	0.210861783	0.215649806	0.234201218
Zm00001eb121110	0.192292972	0.133788797	0.142043972	0.158487712	0.146906772
Zm00001eb123510	0.321443756	0.291361937	0.310381531	0.28328473	0.253039078
Zm00001eb128930	0.043321699	0.028234629	0.030187614	0.039837142	0.035926795
Zm00001eb133000	0.304277939	0.349032239	0.31832164	0.257596969	0.191112716
Zm00001eb134600	0.749178502	0.704658042	0.752483408	0.686419501	0.602215538
Zm00001eb135750	0.738542179	0.601822524	0.685844278	0.654091506	0.61362569
Zm00001eb136060	0.823469719	0.658735868	0.710765513	0.665989737	0.520533588
Zm00001eb142180	0.16429673	0.131394507	0.136966305	0.144412355	0.137838776
Zm00001eb143110	0.218448854	0.212031553	0.177324955	0.118821182	0.090280749
Zm00001eb145150	0.369260487	0.343887806	0.193525101	0.12716335	0.095304078
Zm00001eb145660	0.410371255	0.40740517	0.27423724	0.16733276	0.101222012
Zm00001eb147970	0.656639882	0.607343207	0.471379012	0.323468322	0.266377326
Zm00001eb148320	0.163288316	0.135797693	0.126313657	0.139399167	0.135010209
Zm00001eb149810	0.025147467	0.013168599	0.009304848	0.008899774	0.013023916
Zm00001eb151240	0.258921778	0.294955322	0.245443156	0.17215993	0.103927319
Zm00001eb153100	0.430579948	0.451546728	0.431351363	0.396309092	0.368354112
Zm00001eb157270	0.629776557	0.636219825	0.561414777	0.523342861	0.597400988
Zm00001eb159750	0.060487516	0.054571828	0.053949761	0.045790769	0.046089702
Zm00001eb161000	0.262602498	0.228001293	0.181687309	0.148352288	0.114170595
Zm00001eb162130	0.334928853	0.282632136	0.284133742	0.291063179	0.282605257
Zm00001eb168120	0.241950063	0.087911878	0.059238693	0.102797461	0.160268964
Zm00001eb172100	0.462239277	0.376185086	0.417804673	0.42092408	0.426796343
Zm00001eb176740	0.200274622	0.180115477	0.175793372	0.151357345	0.150252029
Zm00001eb179440	1.281803413	1.20124322	1.029149256	0.905103038	0.757984817
Zm00001eb179960	0.060487516	0.065256126	0.049600494	0.021509615	0.010547932
Zm00001eb183700	0.119134672	0.092993895	0.090169101	0.069361828	0.052865352
Zm00001eb185110	0.010830425	0.012671739	0.010714345	0.00472869	0.003232979
Zm00001eb187040	1.589492208	1.521625478	1.477665711	1.416992741	1.280489768
Zm00001eb187880	0.108304247	0.045491525	0.026914491	0.013070858	0.009125941
Zm00001eb188950	0.140795521	0.127417676	0.150090199	0.121214513	0.118897286
Zm00001eb193790	0.783000367	0.886039705	0.74033414	0.544105874	0.412752595
Zm00001eb198700	1.926658363	1.979362952	1.912231118	1.851806328	1.735401525
Zm00001eb199140	0.175127155	0.172208915	0.153833154	0.152524014	0.1237942
Zm00001eb199940	0.272354909	0.264639344	0.281117879	0.241090913	0.222695949
Zm00001eb206760	0.267291632	0.243679546	0.238138414	0.219610927	0.199233489
Zm00001eb207760	1.17938788	1.09237414	1.034466239	0.996906048	0.901130111
Zm00001eb209480	0.514173083	0.503829591	0.506522206	0.461927249	0.443454166
Zm00001eb214850	0.207618429	0.217115519	0.21537632	0.193168697	0.165944307
Zm00001eb227180	0.325938788	0.296895663	0.226512152	0.166092581	0.145915057
Zm00001eb229050	0.306932611	0.308215881	0.290225857	0.247688165	0.239225176
Zm00001eb229950	0.408087153	0.36694037	0.386416213	0.360746693	0.323848371
Zm00001eb232050	0.138140849	0.126920815	0.118280516	0.090731102	0.077775497
Zm00001eb232120	0.362925095	0.291882201	0.291076343	0.243576338	0.12396685
Zm00001eb233350	0.136300489	0.115943082	0.102156461	0.112879407	0.097395037
Zm00001eb237460	0.44831401	0.40466605	0.408077295	0.377257042	0.283668278
Zm00001eb238060	1.260655905	1.128161733	1.068536424	1.028517815	0.891638889
Zm00001eb243260	0.082148365	0.056469258	0.054222723	0.052052925	0.058837619
Zm00001eb243910	0.209458789	0.182102918	0.181960271	0.158635757	0.153556729
Zm00001eb244380	0.103809215	0.084410452	0.087759551	0.079928	0.068904915
Zm00001eb249730	0.16429673	0.163717432	0.165656551	0.142702204	0.125944186
Zm00001eb250190	1.854745193	1.841165855	1.810783974	1.756735625	1.629016773
Zm00001eb250280	0.131805456	0.182419757	0.062118075	0.043056562	0.024680174
Zm00001eb250620	0.379082497	0.288836675	0.252624768	0.243649719	0.225406599
Zm00001eb252640	0.125470064	0.122132234	0.122902746	0.105949921	0.089741447
Zm00001eb253150	0.049657091	0.054571828	0.047327425	0.0383575	0.038624444
Zm00001eb255670	0.680393668	0.710679381	0.669319912	0.476722058	0.244005137
Zm00001eb258240	0.588808559	0.493069417	0.406358076	0.341518284	0.259744451
Zm00001eb259870	0.176967515	0.12472995	0.142255236	0.156635842	0.149713448
Zm00001eb261130	0.222129574	0.215736403	0.215634888	0.200056833	0.209507971
Zm00001eb264080	0.157961338	0.173204585	0.172639721	0.141192934	0.120925606
Zm00001eb267130	0.324098428	0.256938156	0.269539962	0.244950404	0.259409767
Zm00001eb273580	0.159801698	0.117637088	0.12846464	0.131193451	0.138645067
Zm00001eb274340	0.175127155	0.184497209	0.15154569	0.103057598	0.109916253
Zm00001eb275690	0.241950063	0.228836842	0.218165216	0.201335594	0.176535663
