"gene_id","cell_type","marker_rank","source_cell_type","input_order","rank_value","n_markers"
"Zm00001eb066520","Bundle_sheath",1,"Bundle_sheath",1,1,100
"Zm00001eb066650","Bundle_sheath",2,"Bundle_sheath",2,2,100
"Zm00001eb066860","Bundle_sheath",3,"Bundle_sheath",3,3,100
"Zm00001eb067700","Bundle_sheath",4,"Bundle_sheath",4,4,100
"Zm00001eb068280","Bundle_sheath",5,"Bundle_sheath",5,5,100
"Zm00001eb069000","Bundle_sheath",6,"Bundle_sheath",6,6,100
"Zm00001eb073090","Bundle_sheath",7,"Bundle_sheath",7,7,100
"Zm00001eb080170","Bundle_sheath",8,"Bundle_sheath",8,8,100
"Zm00001eb082670","Bundle_sheath",9,"Bundle_sheath",9,9,100
"Zm00001eb084560","Bundle_sheath",10,"Bundle_sheath",10,10,100
"Zm00001eb084760","Bundle_sheath",11,"Bundle_sheath",11,11,100
"Zm00001eb086100","Bundle_sheath",12,"Bundle_sheath",12,12,100
"Zm00001eb088050","Bundle_sheath",13,"Bundle_sheath",13,13,100
"Zm00001eb089390","Bundle_sheath",14,"Bundle_sheath",14,14,100
"Zm00001eb091780","Bundle_sheath",15,"Bundle_sheath",15,15,100
"Zm00001eb092730","Bundle_sheath",16,"Bundle_sheath",16,16,100
"Zm00001eb093640","Bundle_sheath",17,"Bundle_sheath",17,17,100
"Zm00001eb094750","Bundle_sheath",18,"Bundle_sheath",18,18,100
"Zm00001eb096920","Bundle_sheath",19,"Bundle_sheath",19,19,100
"Zm00001eb098990","Bundle_sheath",20,"Bundle_sheath",20,20,100
"Zm00001eb100140","Bundle_sheath",21,"Bundle_sheath",21,21,100
"Zm00001eb101660","Bundle_sheath",22,"Bundle_sheath",22,22,100
"Zm00001eb103010","Bundle_sheath",23,"Bundle_sheath",23,23,100
"Zm00001eb104680","Bundle_sheath",24,"Bundle_sheath",24,24,100
"Zm00001eb105410","Bundle_sheath",25,"Bundle_sheath",25,25,100
"Zm00001eb107590","Bundle_sheath",26,"Bundle_sheath",26,26,100
"Zm00001eb108360","Bundle_sheath",27,"Bundle_sheath",27,27,100
"Zm00001eb108910","Bundle_sheath",28,"Bundle_sheath",28,28,100
"Zm00001eb109300","Bundle_sheath",29,"Bundle_sheath",29,29,100
"Zm00001eb110520","Bundle_sheath",30,"Bundle_sheath",30,30,100
"Zm00001eb111070","Bundle_sheath",31,"Bundle_sheath",31,31,100
"Zm00001eb116580","Bundle_sheath",32,"Bundle_sheath",32,32,100
"Zm00001eb332910","Bundle_sheath",33,"Bundle_sheath",33,33,100
"Zm00001eb336810","Bundle_sheath",34,"Bundle_sheath",34,34,100
"Zm00001eb343820","Bundle_sheath",35,"Bundle_sheath",35,35,100
"Zm00001eb345070","Bundle_sheath",36,"Bundle_sheath",36,36,100
"Zm00001eb346330","Bundle_sheath",37,"Bundle_sheath",37,37,100
"Zm00001eb346570","Bundle_sheath",38,"Bundle_sheath",38,38,100
"Zm00001eb351330","Bundle_sheath",39,"Bundle_sheath",39,39,100
"Zm00001eb356220","Bundle_sheath",40,"Bundle_sheath",40,40,100
"Zm00001eb357670","Bundle_sheath",41,"Bundle_sheath",41,41,100
"Zm00001eb358050","Bundle_sheath",42,"Bundle_sheath",42,42,100
"Zm00001eb359230","Bundle_sheath",43,"Bundle_sheath",43,43,100
"Zm00001eb360020","Bundle_sheath",44,"Bundle_sheath",44,44,100
"Zm00001eb360950","Bundle_sheath",45,"Bundle_sheath",45,45,100
"Zm00001eb361800","Bundle_sheath",46,"Bundle_sheath",46,46,100
"Zm00001eb365700","Bundle_sheath",47,"Bundle_sheath",47,47,100
"Zm00001eb366720","Bundle_sheath",48,"Bundle_sheath",48,48,100
"Zm00001eb370910","Bundle_sheath",49,"Bundle_sheath",49,49,100
"Zm00001eb213670","Bundle_sheath",50,"Bundle_sheath",50,50,100
"Zm00001eb213750","Bundle_sheath",51,"Bundle_sheath",51,51,100
"Zm00001eb214610","Bundle_sheath",52,"Bundle_sheath",52,52,100
"Zm00001eb217590","Bundle_sheath",53,"Bundle_sheath",53,53,100
"Zm00001eb219530","Bundle_sheath",54,"Bundle_sheath",54,54,100
"Zm00001eb220340","Bundle_sheath",55,"Bundle_sheath",55,55,100
"Zm00001eb222130","Bundle_sheath",56,"Bundle_sheath",56,56,100
"Zm00001eb223200","Bundle_sheath",57,"Bundle_sheath",57,57,100
"Zm00001eb223800","Bundle_sheath",58,"Bundle_sheath",58,58,100
"Zm00001eb224520","Bundle_sheath",59,"Bundle_sheath",59,59,100
"Zm00001eb224900","Bundle_sheath",60,"Bundle_sheath",60,60,100
"Zm00001eb225700","Bundle_sheath",61,"Bundle_sheath",61,61,100
"Zm00001eb226780","Bundle_sheath",62,"Bundle_sheath",62,62,100
"Zm00001eb227940","Bundle_sheath",63,"Bundle_sheath",63,63,100
"Zm00001eb408010","Bundle_sheath",64,"Bundle_sheath",64,64,100
"Zm00001eb121470","Bundle_sheath",65,"Bundle_sheath",65,65,100
"Zm00001eb373150","Bundle_sheath",66,"Bundle_sheath",66,66,100
"Zm00001eb140540","Bundle_sheath",67,"Bundle_sheath",67,67,100
"Zm00001eb251520","Bundle_sheath",68,"Bundle_sheath",68,68,100
"Zm00001eb011080","Bundle_sheath",69,"Bundle_sheath",69,69,100
"Zm00001eb409090","Bundle_sheath",70,"Bundle_sheath",70,70,100
"Zm00001eb200910","Bundle_sheath",71,"Bundle_sheath",71,71,100
"Zm00001eb133100","Bundle_sheath",72,"Bundle_sheath",72,72,100
"Zm00001eb033390","Bundle_sheath",73,"Bundle_sheath",73,73,100
"Zm00001eb279660","Bundle_sheath",74,"Bundle_sheath",74,74,100
"Zm00001eb406880","Bundle_sheath",75,"Bundle_sheath",75,75,100
"Zm00001eb068160","Bundle_sheath",76,"Bundle_sheath",76,76,100
"Zm00001eb187120","Bundle_sheath",77,"Bundle_sheath",77,77,100
"Zm00001eb164380","Bundle_sheath",78,"Bundle_sheath",78,78,100
"Zm00001eb323140","Bundle_sheath",79,"Bundle_sheath",79,79,100
"Zm00001eb188120","Bundle_sheath",80,"Bundle_sheath",80,80,100
"Zm00001eb284290","Bundle_sheath",81,"Bundle_sheath",81,81,100
"Zm00001eb012440","Bundle_sheath",82,"Bundle_sheath",82,82,100
"Zm00001eb083840","Bundle_sheath",83,"Bundle_sheath",83,83,100
"Zm00001eb387440","Bundle_sheath",84,"Bundle_sheath",84,84,100
"Zm00001eb066000","Bundle_sheath",85,"Bundle_sheath",85,85,100
"Zm00001eb053490","Bundle_sheath",86,"Bundle_sheath",86,86,100
"Zm00001eb153620","Bundle_sheath",87,"Bundle_sheath",87,87,100
"Zm00001eb301210","Bundle_sheath",88,"Bundle_sheath",88,88,100
"Zm00001eb151220","Bundle_sheath",89,"Bundle_sheath",89,89,100
"Zm00001eb009090","Bundle_sheath",90,"Bundle_sheath",90,90,100
"Zm00001eb192430","Bundle_sheath",91,"Bundle_sheath",91,91,100
"Zm00001eb164390","Bundle_sheath",92,"Bundle_sheath",92,92,100
"Zm00001eb288150","Bundle_sheath",93,"Bundle_sheath",93,93,100
"Zm00001eb261910","Bundle_sheath",94,"Bundle_sheath",94,94,100
"Zm00001eb164310","Bundle_sheath",95,"Bundle_sheath",95,95,100
"Zm00001eb297490","Bundle_sheath",96,"Bundle_sheath",96,96,100
"Zm00001eb100530","Bundle_sheath",97,"Bundle_sheath",97,97,100
"Zm00001eb054990","Bundle_sheath",98,"Bundle_sheath",98,98,100
"Zm00001eb229550","Bundle_sheath",99,"Bundle_sheath",99,99,100
"Zm00001eb065780","Bundle_sheath",100,"Bundle_sheath",100,100,100
"Zm00001eb073350","G2_M_phase",1,"G2/M_phase",520,1,100
"Zm00001eb075810","G2_M_phase",2,"G2/M_phase",521,2,100
"Zm00001eb104520","G2_M_phase",3,"G2/M_phase",522,3,100
"Zm00001eb106080","G2_M_phase",4,"G2/M_phase",523,4,100
"Zm00001eb111490","G2_M_phase",5,"G2/M_phase",524,5,100
"Zm00001eb117190","G2_M_phase",6,"G2/M_phase",525,6,100
"Zm00001eb333240","G2_M_phase",7,"G2/M_phase",526,7,100
"Zm00001eb333760","G2_M_phase",8,"G2/M_phase",527,8,100
"Zm00001eb336170","G2_M_phase",9,"G2/M_phase",528,9,100
"Zm00001eb343260","G2_M_phase",10,"G2/M_phase",529,10,100
"Zm00001eb347610","G2_M_phase",11,"G2/M_phase",530,11,100
"Zm00001eb358690","G2_M_phase",12,"G2/M_phase",531,12,100
"Zm00001eb213650","G2_M_phase",13,"G2/M_phase",532,13,100
"Zm00001eb216960","G2_M_phase",14,"G2/M_phase",533,14,100
"Zm00001eb218540","G2_M_phase",15,"G2/M_phase",534,15,100
"Zm00001eb224440","G2_M_phase",16,"G2/M_phase",535,16,100
"Zm00001eb244070","G2_M_phase",17,"G2/M_phase",536,17,100
"Zm00001eb248880","G2_M_phase",18,"G2/M_phase",537,18,100
"Zm00001eb079190","G2_M_phase",19,"G2/M_phase",538,19,100
"Zm00001eb294360","G2_M_phase",20,"G2/M_phase",539,20,100
"Zm00001eb292740","G2_M_phase",21,"G2/M_phase",540,21,100
"Zm00001eb379440","G2_M_phase",22,"G2/M_phase",541,22,100
"Zm00001eb397080","G2_M_phase",23,"G2/M_phase",542,23,100
"Zm00001eb233920","G2_M_phase",24,"G2/M_phase",543,24,100
"Zm00001eb332010","G2_M_phase",25,"G2/M_phase",544,25,100
"Zm00001eb363830","G2_M_phase",26,"G2/M_phase",545,26,100
"Zm00001eb207380","G2_M_phase",27,"G2/M_phase",546,27,100
"Zm00001eb329840","G2_M_phase",28,"G2/M_phase",547,28,100
"Zm00001eb057410","G2_M_phase",29,"G2/M_phase",548,29,100
"Zm00001eb207790","G2_M_phase",30,"G2/M_phase",549,30,100
"Zm00001eb176030","G2_M_phase",31,"G2/M_phase",550,31,100
"Zm00001eb265280","G2_M_phase",32,"G2/M_phase",551,32,100
"Zm00001eb423880","G2_M_phase",33,"G2/M_phase",552,33,100
"Zm00001eb287900","G2_M_phase",34,"G2/M_phase",553,34,100
"Zm00001eb098070","G2_M_phase",35,"G2/M_phase",554,35,100
"Zm00001eb148380","G2_M_phase",36,"G2/M_phase",555,36,100
"Zm00001eb155230","G2_M_phase",37,"G2/M_phase",556,37,100
"Zm00001eb077210","G2_M_phase",38,"G2/M_phase",557,38,100
"Zm00001eb227730","G2_M_phase",39,"G2/M_phase",558,39,100
"Zm00001eb432950","G2_M_phase",40,"G2/M_phase",559,40,100
"Zm00001eb214840","G2_M_phase",41,"G2/M_phase",560,41,100
"Zm00001eb163550","G2_M_phase",42,"G2/M_phase",561,42,100
"Zm00001eb250190","G2_M_phase",43,"G2/M_phase",562,43,100
"Zm00001eb036130","G2_M_phase",44,"G2/M_phase",563,44,100
"Zm00001eb211490","G2_M_phase",45,"G2/M_phase",564,45,100
"Zm00001eb253710","G2_M_phase",46,"G2/M_phase",565,46,100
"Zm00001eb314080","G2_M_phase",47,"G2/M_phase",566,47,100
"Zm00001eb316050","G2_M_phase",48,"G2/M_phase",567,48,100
"Zm00001eb317500","G2_M_phase",49,"G2/M_phase",568,49,100
"Zm00001eb320350","G2_M_phase",50,"G2/M_phase",569,50,100
"Zm00001eb321050","G2_M_phase",51,"G2/M_phase",570,51,100
"Zm00001eb321740","G2_M_phase",52,"G2/M_phase",571,52,100
"Zm00001eb327420","G2_M_phase",53,"G2/M_phase",572,53,100
"Zm00001eb327880","G2_M_phase",54,"G2/M_phase",573,54,100
"Zm00001eb331370","G2_M_phase",55,"G2/M_phase",574,55,100
"Zm00001eb429850","G2_M_phase",56,"G2/M_phase",575,56,100
"Zm00001eb019300","G2_M_phase",57,"G2/M_phase",576,57,100
"Zm00001eb031820","G2_M_phase",58,"G2/M_phase",577,58,100
"Zm00001eb251920","G2_M_phase",59,"G2/M_phase",578,59,100
"Zm00001eb188670","G2_M_phase",60,"G2/M_phase",579,60,100
"Zm00001eb280740","G2_M_phase",61,"G2/M_phase",580,61,100
"Zm00001eb235810","G2_M_phase",62,"G2/M_phase",581,62,100
"Zm00001eb038490","G2_M_phase",63,"G2/M_phase",582,63,100
"Zm00001eb044130","G2_M_phase",64,"G2/M_phase",583,64,100
"Zm00001eb050130","G2_M_phase",65,"G2/M_phase",584,65,100
"Zm00001eb050230","G2_M_phase",66,"G2/M_phase",585,66,100
"Zm00001eb052610","G2_M_phase",67,"G2/M_phase",586,67,100
"Zm00001eb059360","G2_M_phase",68,"G2/M_phase",587,68,100
"Zm00001eb280870","G2_M_phase",69,"G2/M_phase",588,69,100
"Zm00001eb287310","G2_M_phase",70,"G2/M_phase",589,70,100
"Zm00001eb292280","G2_M_phase",71,"G2/M_phase",590,71,100
"Zm00001eb297460","G2_M_phase",72,"G2/M_phase",591,72,100
"Zm00001eb120780","G2_M_phase",73,"G2/M_phase",592,73,100
"Zm00001eb127760","G2_M_phase",74,"G2/M_phase",593,74,100
"Zm00001eb127880","G2_M_phase",75,"G2/M_phase",594,75,100
"Zm00001eb141360","G2_M_phase",76,"G2/M_phase",595,76,100
"Zm00001eb147740","G2_M_phase",77,"G2/M_phase",596,77,100
"Zm00001eb156480","G2_M_phase",78,"G2/M_phase",597,78,100
"Zm00001eb157840","G2_M_phase",79,"G2/M_phase",598,79,100
"Zm00001eb159010","G2_M_phase",80,"G2/M_phase",599,80,100
"Zm00001eb162990","G2_M_phase",81,"G2/M_phase",600,81,100
"Zm00001eb373960","G2_M_phase",82,"G2/M_phase",601,82,100
"Zm00001eb400050","G2_M_phase",83,"G2/M_phase",602,83,100
"Zm00001eb400340","G2_M_phase",84,"G2/M_phase",603,84,100
"Zm00001eb403680","G2_M_phase",85,"G2/M_phase",604,85,100
"Zm00001eb167670","G2_M_phase",86,"G2/M_phase",605,86,100
"Zm00001eb179120","G2_M_phase",87,"G2/M_phase",606,87,100
"Zm00001eb188050","G2_M_phase",88,"G2/M_phase",607,88,100
"Zm00001eb192330","G2_M_phase",89,"G2/M_phase",608,89,100
"Zm00001eb146220","G2_M_phase",90,"G2/M_phase",609,90,100
"Zm00001eb205050","G2_M_phase",91,"G2/M_phase",610,91,100
"Zm00001eb008500","G2_M_phase",92,"G2/M_phase",611,92,100
"Zm00001eb213820","G2_M_phase",93,"G2/M_phase",612,93,100
"Zm00001eb353070","G2_M_phase",94,"G2/M_phase",613,94,100
"Zm00001eb252230","G2_M_phase",95,"G2/M_phase",614,95,100
"Zm00001eb314160","G2_M_phase",96,"G2/M_phase",615,96,100
"Zm00001eb056780","G2_M_phase",97,"G2/M_phase",616,97,100
"Zm00001eb352130","G2_M_phase",98,"G2/M_phase",617,98,100
"Zm00001eb325550","G2_M_phase",99,"G2/M_phase",618,99,100
"Zm00001eb325230","G2_M_phase",100,"G2/M_phase",619,100,100
"Zm00001eb092260","Leaf_epidermis",1,"Leaf_epidermis",625,1,33
"Zm00001eb340650","Leaf_epidermis",2,"Leaf_epidermis",626,2,33
"Zm00001eb355910","Leaf_epidermis",3,"Leaf_epidermis",627,3,33
"Zm00001eb365680","Leaf_epidermis",4,"Leaf_epidermis",628,4,33
"Zm00001eb255450","Leaf_epidermis",5,"Leaf_epidermis",629,5,33
"Zm00001eb326270","Leaf_epidermis",6,"Leaf_epidermis",630,6,33
"Zm00001eb431620","Leaf_epidermis",7,"Leaf_epidermis",631,7,33
"Zm00001eb431660","Leaf_epidermis",8,"Leaf_epidermis",632,8,33
"Zm00001eb010490","Leaf_epidermis",9,"Leaf_epidermis",633,9,33
"Zm00001eb023140","Leaf_epidermis",10,"Leaf_epidermis",634,10,33
"Zm00001eb077880","Leaf_epidermis",11,"Leaf_epidermis",635,11,33
"Zm00001eb232710","Leaf_epidermis",12,"Leaf_epidermis",636,12,33
"Zm00001eb062400","Leaf_epidermis",13,"Leaf_epidermis",637,13,33
"Zm00001eb293430","Leaf_epidermis",14,"Leaf_epidermis",638,14,33
"Zm00001eb066640","Leaf_epidermis",15,"Leaf_epidermis",639,15,33
"Zm00001eb161780","Leaf_epidermis",16,"Leaf_epidermis",640,16,33
"Zm00001eb119150","Leaf_epidermis",17,"Leaf_epidermis",641,17,33
"Zm00001eb269140","Leaf_epidermis",18,"Leaf_epidermis",642,18,33
"Zm00001eb233880","Leaf_epidermis",19,"Leaf_epidermis",643,19,33
"Zm00001eb317030","Leaf_epidermis",20,"Leaf_epidermis",644,20,33
"Zm00001eb026500","Leaf_epidermis",21,"Leaf_epidermis",645,21,33
"Zm00001eb056650","Leaf_epidermis",22,"Leaf_epidermis",646,22,33
"Zm00001eb119920","Leaf_epidermis",23,"Leaf_epidermis",647,23,33
"Zm00001eb123220","Leaf_epidermis",24,"Leaf_epidermis",648,24,33
"Zm00001eb147350","Leaf_epidermis",25,"Leaf_epidermis",649,25,33
"Zm00001eb147490","Leaf_epidermis",26,"Leaf_epidermis",650,26,33
"Zm00001eb152800","Leaf_epidermis",27,"Leaf_epidermis",651,27,33
"Zm00001eb153170","Leaf_epidermis",28,"Leaf_epidermis",652,28,33
"Zm00001eb154280","Leaf_epidermis",29,"Leaf_epidermis",653,29,33
"Zm00001eb393130","Leaf_epidermis",30,"Leaf_epidermis",654,30,33
