"gene","total_umi","detected_spots","pass_minimum_100_reads"
"Zm00001eb026490",25699,11022,TRUE
"Zm00001eb056070",72,72,FALSE
"Zm00001eb051700",0,0,FALSE
"Zm00001eb055450",9569,6607,TRUE
"Zm00001eb053570",2689,2374,TRUE
"Zm00001eb004770",1276,1193,TRUE
"Zm00001eb029480",7,7,FALSE
"Zm00001eb036750",59613,14499,TRUE
"Zm00001eb013610",2834,2491,TRUE
"Zm00001eb027880",16187,9938,TRUE
"Zm00001eb014040",0,0,FALSE
"Zm00001eb034910",0,0,FALSE
"Zm00001eb022970",2203,1962,TRUE
"Zm00001eb037140",12,12,FALSE
"Zm00001eb048840",9786,6849,TRUE
"Zm00001eb048790",13,13,FALSE
"Zm00001eb009030",0,0,FALSE
"Zm00001eb028150",2,2,FALSE
"Zm00001eb004570",4347,3588,TRUE
"Zm00001eb050090",0,0,FALSE
"Zm00001eb061780",23,23,FALSE
"Zm00001eb002350",2,2,FALSE
"Zm00001eb058260",14670,9005,TRUE
"Zm00001eb053860",219,215,TRUE
"Zm00001eb035520",671,634,TRUE
"Zm00001eb054270",79,79,FALSE
"Zm00001eb037360",2695,2395,TRUE
"Zm00001eb054430",1263,1082,TRUE
"Zm00001eb047300",0,0,FALSE
"Zm00001eb032720",14,13,FALSE
"Zm00001eb059300",0,0,FALSE
"Zm00001eb032890",27,27,FALSE
"Zm00001eb033910",9844,7029,TRUE
"Zm00001eb026040",4,4,FALSE
"Zm00001eb050460",13949,8790,TRUE
"Zm00001eb008670",0,0,FALSE
"Zm00001eb030870",3320,2946,TRUE
"Zm00001eb063860",272,267,TRUE
"Zm00001eb058910",0,0,FALSE
"Zm00001eb031120",0,0,FALSE
"Zm00001eb033480",13827,8875,TRUE
"Zm00001eb017780",7357,5337,TRUE
"Zm00001eb040490",29231,13555,TRUE
"Zm00001eb043020",0,0,FALSE
"Zm00001eb055100",0,0,FALSE
"Zm00001eb002760",10,10,FALSE
"Zm00001eb012970",0,0,FALSE
"Zm00001eb009290",736,704,TRUE
"Zm00001eb018240",0,0,FALSE
"Zm00001eb016540",5318,4275,TRUE
"Zm00001eb058570",2448,2132,TRUE
"Zm00001eb043900",1743,1482,TRUE
"Zm00001eb052590",1013,709,TRUE
"Zm00001eb007020",0,0,FALSE
"Zm00001eb001320",0,0,FALSE
"Zm00001eb065340",23980,11979,TRUE
"Zm00001eb052950",567,542,TRUE
"Zm00001eb059800",1041,968,TRUE
"Zm00001eb041820",0,0,FALSE
"Zm00001eb020820",0,0,FALSE
"Zm00001eb024690",0,0,FALSE
"Zm00001eb052670",3,3,FALSE
"Zm00001eb059560",35058,12873,TRUE
"Zm00001eb042810",1,1,FALSE
"Zm00001eb038130",1022,949,TRUE
"Zm00001eb063280",3723,3224,TRUE
"Zm00001eb057150",22757,10700,TRUE
"Zm00001eb013450",4408,3452,TRUE
"Zm00001eb014970",5111,4059,TRUE
"Zm00001eb035810",1,1,FALSE
"Zm00001eb023690",4178,3520,TRUE
"Zm00001eb007890",0,0,FALSE
"Zm00001eb005010",6439,4718,TRUE
"Zm00001eb028260",2,2,FALSE
"Zm00001eb012820",8,8,FALSE
"Zm00001eb021900",10301,6698,TRUE
"Zm00001eb059210",9538,6810,TRUE
"Zm00001eb025060",0,0,FALSE
"Zm00001eb048230",3374,2830,TRUE
"Zm00001eb042590",3822,3298,TRUE
"Zm00001eb049880",61,59,FALSE
"Zm00001eb036320",8487,6230,TRUE
"Zm00001eb062570",392,307,TRUE
